file,sha256,rows,balance_rows,motor_mode,end_reason,possible_capacity_cutoff,balance_elapsed_s,max_balance_gap_ms,measured_drift_peak_rad,tracking_within_2deg_percent,ramp_complete_s_after_engage,drift_at_ramp_rad,pre_ramp_peak_tracking_error_deg,pre_ramp_offset_at_peak_error_deg,post_ramp_peak_tracking_error_deg,post_ramp_offset_at_peak_error_deg,post_ramp_peak_s_after_engage
bal_20260702_172527.csv,f2588f622bc7065f3861284968ff51af40cb9cf2101b052f1a82472951aefafa,765,324,speed,unknown,False,14.45,6831.0,18.22,61.111111111111114,10.385,15.92,4.969999999999999,4.4082,-2.3299999999999983,-2.7421,11.425
bal_20260702_173132.csv,f86e1e465d3760db5c14648ce4e6ab1af3f716138d8de61c095fb12836f30a2b,765,324,speed,unknown,False,9.313,2022.0,25.18,60.49382716049383,4.763,8.68,4.230000000000004,2.9186,2.5600000000000023,2.9576,5.643
bal_20260702_173619.csv,bc14bc9e20ad3d7c40a2581470fcd030f3245ceec8e670f3ae98477e11e641e3,1440,999,speed,unknown,False,21.216,739.0,8.13,91.991991991992,3.949,8.13,4.769999999999996,4.0885,3.089999999999989,2.7016,4.611
bal_20260702_174401.csv,94a713ac6f9024a15ad4e43635a48b9cf749d2e1a0431d5fba172c681a1f2f83,3000,2559,speed,unknown,True,55.967,4840.0,9.84,83.97811645173896,8.487,9.18,3.219999999999999,3.451,-1.6899999999999977,-2.1849,8.967
bal_20260702_175240.csv,03951c329fb16d4e164166a7e9e8324a4a89e7535783e07c045172320eb5ff60,2499,2058,speed,unknown,False,41.765,658.0,26.71,87.36637512147716,4.444,10.28,4.510000000000005,4.3116,-2.4099999999999966,-0.7339,5.824
bal_20260702_222841.csv,ae5845421effed940ec76dc2080a098c40fa722eb03b77bdd9ea2dd9f0587b75,3000,2559,speed,unknown,True,52.472,1347.0,14.44,91.09026963657679,5.774,-7.58,-4.019999999999996,-5.1455,-5.179999999999993,-5.66,6.032
bal_20260702_223919.csv,772d9e10f4dcce262eae652d3b1ac2d278a3946170fdd5e2a58b7112bea2180b,3000,2559,speed,unknown,True,58.403,7276.0,5.98,93.20046893317702,10.003,-1.54,-2.0,-3.1519,-2.4299999999999926,-4.6276,10.443
bal_20260702_224649.csv,91baed0fcac9ded62e740000f861696532fb79b23a8e7c2341b7f867fbfc1f5c,3000,2559,speed,unknown,True,53.988,2464.0,15.45,91.59828057835092,6.669,-4.74,-6.319999999999993,-3.9574,-3.6199999999999903,-5.8594,7.929
bal_20260702_225359.csv,9b92891d7d75b45c8a5836930cb7d7b5e9161090e3ddabb6d3cda6b49408a0b0,2273,1832,speed,unknown,False,38.793,2207.0,16.24,31.16812227074236,5.494,12.12,3.8900000000000006,4.0906,6.0,1.5987,6.994
bal_20260702_225944.csv,e33f560ec88755e74565daf57f50d56e6595a2c2d9ef6400869a2e02e3042c18,1197,756,speed,unknown,False,17.421,1362.0,8.41,93.91534391534391,5.593,5.4,3.239999999999995,2.3919,-1.7600000000000051,-2.1585,7.093
bal_20260702_231038.csv,aeefa2411ef6b7c82bfbbcf1057cf623789b77d6a53dadc91386e83c7eeec567,3000,2559,speed,unknown,True,52.496,1369.0,8.96,76.08440797186401,3.096,-1.57,-5.670000000000002,-0.6045,6.599999999999994,2.4388,3.596
bal_20260702_232626.csv,d670dbd4f48ef69ba29287800ba191f855fe03dbc485c4abf1fde58887aca206,2463,2022,speed,unknown,False,42.569,2182.0,13.34,93.7190900098912,6.149,13.12,5.099999999999994,4.5732,0.8799999999999955,0.4503,6.189
bal_20260703_093643.csv,786000c4ac9580563dc187abf74958e5e1472c201eacc29ce9965eb10123d5ce,526,85,speed,unknown,False,2.288,431.0,4.19,63.529411764705884,,,-44.239999999999995,0.0,,,
bal_20260703_094448.csv,c0b7ed1eadf0179839edf637bcea6f681801cbef57a0b7b6102356a6e475f3fe,3000,2559,speed,unknown,True,52.482,1356.0,15.71,93.20046893317702,5.082,15.67,4.099999999999994,1.8599,-1.809999999999988,-1.4569,5.882
bal_20260703_095326.csv,3c031874cdf14c152a74dd0052e2c11c60e6e1b5f0188bb6051ce11297c6d8e4,3000,2559,speed,unknown,True,54.633,3506.0,16.02,70.49628761234857,6.233,15.54,7.679999999999993,0.1473,-1.1300000000000097,1.6608,7.273
bal_20260703_222223.csv,558fc61b08058f2d0246ae78a8a36f18b0d9e63b828e49d120ce8325eb048ad2,1590,1149,speed,unknown,False,23.404,449.0,11.34,87.46736292428199,2.422,10.79,4.6299999999999955,1.8923,2.950000000000003,2.4042,2.422
bal_20260703_222915.csv,bd8b1956c5233ea065827ef7239a92f901919c335e89672f0396d17b6bb47e8c,1598,1157,speed,unknown,False,23.121,25.0,23.62,90.40622299049265,1.462,0.31,0.4300000000000068,0.22,1.6599999999999966,1.1813,1.98
bal_20260703_223630.csv,82ae0801ceda8ad8bc1d9188afcfd4efdf7b5e8ea5fe0dbad0d3d9473d9a2f17,560,119,speed,unknown,False,2.36,25.0,19.9,46.21848739495798,1.839,7.32,6.970000000000013,0.5948,41.82,0.0055,2.36
bal_20260703_224227.csv,382a10112249329dfe1ef7b743b55f114ef5344fd790d651a6d9d681a64ba63c,664,223,speed,unknown,False,9.547,5113.0,10.13,78.9237668161435,3.266,9.1,10.010000000000005,0.0,1.940000000000012,1.6482,3.81
bal_20260703_224824.csv,d64885d0f1ae7fd8a374cdba6d12cd295511529219714827b84ca367a1fbef84,588,147,speed,unknown,False,4.939,961.0,18.03,70.74829931972789,2.16,6.7,4.810000000000002,1.7803,2.8700000000000045,1.6969,3.031
bal_20260703_231458.csv,5581a7e19d11e9b608c9b22e1d676cbbb554efe633e7974872cf4dedeb9c9083,3000,2559,speed,unknown,True,51.161,25.0,12.01,86.63540445486518,2.162,3.62,3.200000000000003,1.6775,4.679999999999993,3.8375,2.32
bal_20260703_233710.csv,76c75ef74db776410f75b6b5c475932ad56408ba99667b589b5abc6f97591943,3000,2559,speed,unknown,True,51.161,27.0,9.63,95.2715904650254,2.181,4.11,3.0600000000000023,1.6651,5.070000000000007,3.8251,2.34
latest_run.csv,036c1d08f6637d4ee9eae161097bde5090f06e91901b3a268298ca7244d8818e,1344,910,legacy/unspecified,unknown,False,21.299,3153.0,nan,96.7032967032967,,,,,,,
